COLLEGE ID,COLLEGE NAME,CAMPUS ID,CAMPUS,CITY/TOWN,POSTAL CODE,PROGRAM NAME,PROGRAM TYPE,PROGRAM CATEGORY,AUDIT,"GRADUATION RATE
(%)","GRADUATE EMPLOYMENT RATE
(%)","GRADUATE EMPLOYMENT RATE IN THE FIELD OF STUDY
(%)","GRADUATE SATISFACTION RATE
(% Satisfied)","EMPLOYER SATISFACTION RATE
(% Satisfied)","OSAP DEFAULT RATE
(%)"
200734,CAREER BREAKTHROUGH INC.,101569,"ACADEMY OF LEARNING CAREER AND BUSINESS COLLEGE, CMPS-101569",NORTH YORK,M3C 1Y9,ADMINISTRATIVE ASSISTANT,Business,Office Administration,Y,SS,ND,ND,SS,ND,ND
200734,CAREER BREAKTHROUGH INC.,101569,"ACADEMY OF LEARNING CAREER AND BUSINESS COLLEGE, CMPS-101569",NORTH YORK,M3C 1Y9,BUSINESS ACCOUNTING,Business,Accounting,Y,SS,ND,ND,ND,ND,ND
200734,CAREER BREAKTHROUGH INC.,101569,"ACADEMY OF LEARNING CAREER AND BUSINESS COLLEGE, CMPS-101569",NORTH YORK,M3C 1Y9,BUSINESS ADMINISTRATION DIPLOMA,Business,Business Administration,Y,100.0%,100.0%,0.0%,50.0%,ND,ND
200734,CAREER BREAKTHROUGH INC.,101569,"ACADEMY OF LEARNING CAREER AND BUSINESS COLLEGE, CMPS-101569",NORTH YORK,M3C 1Y9,BUSINESS OFFICE SKILLS,Business,Office Administration,Y,SS,ND,ND,ND,ND,ND
200734,CAREER BREAKTHROUGH INC.,101569,"ACADEMY OF LEARNING CAREER AND BUSINESS COLLEGE, CMPS-101569",NORTH YORK,M3C 1Y9,COMMUNITY SERVICE WORKER (2017),Community and Social Services,Community Services Worker,Y,SS,SS,SS,SS,ND,ND
200734,CAREER BREAKTHROUGH INC.,101569,"ACADEMY OF LEARNING CAREER AND BUSINESS COLLEGE, CMPS-101569",NORTH YORK,M3C 1Y9,COMPUTER SERVICE TECHNICIAN,Computer and Information Technology,Information Technology,Y,SS,ND,ND,ND,ND,ND
200734,CAREER BREAKTHROUGH INC.,101569,"ACADEMY OF LEARNING CAREER AND BUSINESS COLLEGE, CMPS-101569",NORTH YORK,M3C 1Y9,COMPUTERIZED ACCOUNTING,Business,Accounting,Y,SS,ND,ND,ND,ND,ND
200734,CAREER BREAKTHROUGH INC.,101569,"ACADEMY OF LEARNING CAREER AND BUSINESS COLLEGE, CMPS-101569",NORTH YORK,M3C 1Y9,CONFERENCE AND EVENT PLANNER,Business,Hospitality Administration/Management,Y,100.0%,50.0%,0.0%,66.7%,ND,ND
200734,CAREER BREAKTHROUGH INC.,101569,"ACADEMY OF LEARNING CAREER AND BUSINESS COLLEGE, CMPS-101569",NORTH YORK,M3C 1Y9,CUSTOMER SERVICE AND INFORMATION CLERK,Services,Customer Service/Retail Sales,Y,SS,ND,ND,ND,ND,ND
200734,CAREER BREAKTHROUGH INC.,101569,"ACADEMY OF LEARNING CAREER AND BUSINESS COLLEGE, CMPS-101569",NORTH YORK,M3C 1Y9,DENTAL ADMINISTRATIVE ASSISTANT,Health Services,Office/Clerical/Administration - Dental/Medical,Y,SS,SS,SS,SS,ND,ND
200734,CAREER BREAKTHROUGH INC.,101569,"ACADEMY OF LEARNING CAREER AND BUSINESS COLLEGE, CMPS-101569",NORTH YORK,M3C 1Y9,GRAPHIC DESIGNER,Applied Arts and Science,Graphic Design/Printing,Y,SS,ND,ND,ND,ND,ND
200734,CAREER BREAKTHROUGH INC.,101569,"ACADEMY OF LEARNING CAREER AND BUSINESS COLLEGE, CMPS-101569",NORTH YORK,M3C 1Y9,HOME INSPECTION DIPLOMA,Services,Other - Services,Y,SS,SS,SS,SS,100.0%,ND
200734,CAREER BREAKTHROUGH INC.,101569,"ACADEMY OF LEARNING CAREER AND BUSINESS COLLEGE, CMPS-101569",NORTH YORK,M3C 1Y9,MARKETING COORDINATOR,Business,Marketing/Advertising,Y,100.0%,100.0%,0.0%,50.0%,ND,ND
200734,CAREER BREAKTHROUGH INC.,101569,"ACADEMY OF LEARNING CAREER AND BUSINESS COLLEGE, CMPS-101569",NORTH YORK,M3C 1Y9,MEDICAL OFFICE ADMINISTRATION,Health Services,Medical Office Administration/Management,Y,89.3%,100.0%,80.0%,80.0%,ND,ND
200734,CAREER BREAKTHROUGH INC.,101569,"ACADEMY OF LEARNING CAREER AND BUSINESS COLLEGE, CMPS-101569",NORTH YORK,M3C 1Y9,MEDICAL OFFICE ASSISTANT WITH HEALTH UNIT COORDINATOR SPECIALTY VIRTUAL LEARNING,Health Services,Medical Office Administration/Management,Y,ND,SS,SS,SS,ND,ND
200734,CAREER BREAKTHROUGH INC.,101569,"ACADEMY OF LEARNING CAREER AND BUSINESS COLLEGE, CMPS-101569",NORTH YORK,M3C 1Y9,MEDICAL OFFICE ASSISTANT WITH HEALTH UNIT COORDINATOR SPECIALTY,Health Services,Medical Office Administration/Management,Y,SS,ND,ND,ND,ND,ND
200734,CAREER BREAKTHROUGH INC.,101569,"ACADEMY OF LEARNING CAREER AND BUSINESS COLLEGE, CMPS-101569",NORTH YORK,M3C 1Y9,MEDICAL OFFICE ASSISTANT,Health Services,Medical Office Administration/Management,Y,SS,SS,SS,SS,ND,ND
200734,CAREER BREAKTHROUGH INC.,101569,"ACADEMY OF LEARNING CAREER AND BUSINESS COLLEGE, CMPS-101569",NORTH YORK,M3C 1Y9,MEDICAL RECEPTIONIST,Health Services,Office/Clerical/Administration - Dental/Medical,Y,SS,SS,SS,SS,ND,ND
200734,CAREER BREAKTHROUGH INC.,101569,"ACADEMY OF LEARNING CAREER AND BUSINESS COLLEGE, CMPS-101569",NORTH YORK,M3C 1Y9,MICROCOMPUTER BUSINESS APPLICATIONS,Computer and Information Technology,Information Technology,Y,SS,ND,ND,ND,ND,ND
200734,CAREER BREAKTHROUGH INC.,101569,"ACADEMY OF LEARNING CAREER AND BUSINESS COLLEGE, CMPS-101569",NORTH YORK,M3C 1Y9,NETWORK ADMINISTRATOR,Computer and Information Technology,Network Administration,Y,SS,ND,ND,ND,ND,ND
200734,CAREER BREAKTHROUGH INC.,101569,"ACADEMY OF LEARNING CAREER AND BUSINESS COLLEGE, CMPS-101569",NORTH YORK,M3C 1Y9,PC SUPPORT SPECIALIST,Computer and Information Technology,Information Technology,Y,SS,ND,ND,ND,ND,ND
200734,CAREER BREAKTHROUGH INC.,101569,"ACADEMY OF LEARNING CAREER AND BUSINESS COLLEGE, CMPS-101569",NORTH YORK,M3C 1Y9,PERSONAL SUPPORT WORKER CERTIFICATE,Health Services,Personal Support Worker/Personal Attendant,Y,70.9%,69.6%,43.5%,86.4%,ND,ND
200734,CAREER BREAKTHROUGH INC.,101569,"ACADEMY OF LEARNING CAREER AND BUSINESS COLLEGE, CMPS-101569",NORTH YORK,M3C 1Y9,PROJECT ADMINISTRATION,Business,Project Administration/Management,Y,SS,SS,SS,SS,ND,ND
200734,CAREER BREAKTHROUGH INC.,101569,"ACADEMY OF LEARNING CAREER AND BUSINESS COLLEGE, CMPS-101569",NORTH YORK,M3C 1Y9,SALES PROFESSIONAL,Services,Customer Service/Retail Sales,Y,ND,ND,ND,ND,ND,ND
200734,CAREER BREAKTHROUGH INC.,101569,"ACADEMY OF LEARNING CAREER AND BUSINESS COLLEGE, CMPS-101569",NORTH YORK,M3C 1Y9,SOFTWARE AND WEB DEVELOPER,Computer and Information Technology,Information Technology,Y,SS,ND,ND,ND,ND,ND
200734,CAREER BREAKTHROUGH INC.,101569,"ACADEMY OF LEARNING CAREER AND BUSINESS COLLEGE, CMPS-101569",NORTH YORK,M3C 1Y9,WEB DESIGNER,Computer and Information Technology,Information Technology,Y,SS,ND,ND,ND,ND,ND
200749,TRILLIUM COLLEGE INC.,101618,"TRILLIUM COLLEGE, OSHAWA",OSHAWA,L1J 2K5,+,,,Y,13.6%,77.7%,64.1%,67.2%,100.0%,10.9%
200749,TRILLIUM COLLEGE INC.,101618,"TRILLIUM COLLEGE, OSHAWA",OSHAWA,L1J 2K5,BUSINESS MANAGEMENT,Business,Business Management,Y,0.0%,75.0%,50.0%,55.6%,ND,ND
200749,TRILLIUM COLLEGE INC.,101618,"TRILLIUM COLLEGE, OSHAWA",OSHAWA,L1J 2K5,COMMUNITY & DEVELOPMENTAL SERVICE WORKER,Community and Social Services,Community Services Worker,Y,7.1%,SS,SS,83.3%,ND,ND
200749,TRILLIUM COLLEGE INC.,101618,"TRILLIUM COLLEGE, OSHAWA",OSHAWA,L1J 2K5,DENTAL ASSISTANT - LEVEL 1 & 2,Health Services,Dental Chairside Assistant,Y,14.3%,80.0%,80.0%,80.0%,ND,ND
200749,TRILLIUM COLLEGE INC.,101618,"TRILLIUM COLLEGE, OSHAWA",OSHAWA,L1J 2K5,DIGITAL MARKETING SPECIALIST,Business,Marketing/Advertising,Y,SS,SS,SS,SS,ND,ND
200749,TRILLIUM COLLEGE INC.,101618,"TRILLIUM COLLEGE, OSHAWA",OSHAWA,L1J 2K5,ELECTRICIAN - PRE-APPRENTICESHIP,Service Trade,Other- Service Trade,Y,ND,SS,SS,SS,ND,ND
200749,TRILLIUM COLLEGE INC.,101618,"TRILLIUM COLLEGE, OSHAWA",OSHAWA,L1J 2K5,ESTHETICS & SPA OPERATIONS,Human Services,Esthetics/Medical Esthetics,Y,14.3%,80.0%,40.0%,80.0%,100.0%,ND
200749,TRILLIUM COLLEGE INC.,101618,"TRILLIUM COLLEGE, OSHAWA",OSHAWA,L1J 2K5,HUMAN RESOURCE MANAGEMENT,Business,Human Resources,Y,SS,40.0%,20.0%,57.1%,ND,ND
200749,TRILLIUM COLLEGE INC.,101618,"TRILLIUM COLLEGE, OSHAWA",OSHAWA,L1J 2K5,LAW & SECURITY,Law and Public Safety,Law Enforcement/Police Foundations,Y,16.7%,SS,SS,SS,ND,ND
200749,TRILLIUM COLLEGE INC.,101618,"TRILLIUM COLLEGE, OSHAWA",OSHAWA,L1J 2K5,LAW CLERK (WITH PLACEMENT),Law and Public Safety,Law Clerk,Y,SS,SS,SS,SS,ND,ND
200749,TRILLIUM COLLEGE INC.,101618,"TRILLIUM COLLEGE, OSHAWA",OSHAWA,L1J 2K5,MASSAGE THERAPY,Health Services,Massage Therapist,Y,16.2%,50.0%,0.0%,0.0%,ND,ND
200749,TRILLIUM COLLEGE INC.,101618,"TRILLIUM COLLEGE, OSHAWA",OSHAWA,L1J 2K5,MEDICAL LAB ASSISTANT/TECHNICIAN,Health Services,Medical Laboratory Technician,Y,18.2%,78.3%,60.9%,55.2%,ND,ND
200749,TRILLIUM COLLEGE INC.,101618,"TRILLIUM COLLEGE, OSHAWA",OSHAWA,L1J 2K5,MEDICAL OFFICE ASSISTANT,Health Services,Medical Office Administration/Management,Y,0.0%,75.0%,75.0%,87.5%,ND,ND
200749,TRILLIUM COLLEGE INC.,101618,"TRILLIUM COLLEGE, OSHAWA",OSHAWA,L1J 2K5,PAYROLL SPECIALIST,Business,Accounting and Payroll Administration,Y,SS,SS,SS,SS,ND,ND
200749,TRILLIUM COLLEGE INC.,101618,"TRILLIUM COLLEGE, OSHAWA",OSHAWA,L1J 2K5,PERSONAL SUPPORT WORKER,Health Services,Personal Support Worker/Personal Attendant,Y,ND,100.0%,100.0%,100.0%,100.0%,ND
200749,TRILLIUM COLLEGE INC.,101618,"TRILLIUM COLLEGE, OSHAWA",OSHAWA,L1J 2K5,PHARMACY ASSISTANT,Health Services,Pharmacy Assistant,Y,ND,20.0%,20.0%,33.3%,ND,ND
200749,TRILLIUM COLLEGE INC.,101618,"TRILLIUM COLLEGE, OSHAWA",OSHAWA,L1J 2K5,SUPPLY CHAIN MANAGEMENT & LOGISTICS,Business,Supply Chain Management and Logistics,Y,SS,SS,SS,SS,ND,ND
200749,TRILLIUM COLLEGE INC.,101618,"TRILLIUM COLLEGE, OSHAWA",OSHAWA,L1J 2K5,VIDEO GAME DESIGNER,Applied Arts and Science,Game/Interactive Media Design,Y,20.0%,SS,SS,SS,ND,ND
200749,TRILLIUM COLLEGE INC.,107020,"TRILLIUM COLLEGE, NIAGARA",ST. CATHARINES,L2T 2K9,+,,,Y,10.4%,85.0%,63.6%,61.9%,100.0%,9.4%
200749,TRILLIUM COLLEGE INC.,107020,"TRILLIUM COLLEGE, NIAGARA",ST. CATHARINES,L2T 2K9,BUSINESS MANAGEMENT,Business,Business Management,Y,0.0%,SS,SS,SS,ND,ND
200749,TRILLIUM COLLEGE INC.,107020,"TRILLIUM COLLEGE, NIAGARA",ST. CATHARINES,L2T 2K9,COMMUNITY & DEVELOPMENTAL SERVICE WORKER,Community and Social Services,Community Services Worker,Y,11.5%,85.7%,57.1%,85.7%,ND,ND
200749,TRILLIUM COLLEGE INC.,107020,"TRILLIUM COLLEGE, NIAGARA",ST. CATHARINES,L2T 2K9,DENTAL ASSISTANT - LEVEL 1 & 2,Health Services,Dental Chairside Assistant,Y,5.3%,SS,SS,83.3%,100.0%,ND
200749,TRILLIUM COLLEGE INC.,107020,"TRILLIUM COLLEGE, NIAGARA",ST. CATHARINES,L2T 2K9,DIGITAL MARKETING SPECIALIST,Business,Marketing/Advertising,Y,ND,SS,SS,SS,ND,ND
200749,TRILLIUM COLLEGE INC.,107020,"TRILLIUM COLLEGE, NIAGARA",ST. CATHARINES,L2T 2K9,ELECTRICIAN - PRE-APPRENTICESHIP,Service Trade,Other- Service Trade,Y,ND,SS,SS,SS,ND,ND
200749,TRILLIUM COLLEGE INC.,107020,"TRILLIUM COLLEGE, NIAGARA",ST. CATHARINES,L2T 2K9,ESTHETICS & SPA OPERATIONS,Human Services,Esthetics/Medical Esthetics,Y,60.0%,100.0%,100.0%,80.0%,100.0%,ND
200749,TRILLIUM COLLEGE INC.,107020,"TRILLIUM COLLEGE, NIAGARA",ST. CATHARINES,L2T 2K9,HUMAN RESOURCE MANAGEMENT,Business,Human Resources,Y,ND,90.9%,18.2%,50.0%,ND,ND
200749,TRILLIUM COLLEGE INC.,107020,"TRILLIUM COLLEGE, NIAGARA",ST. CATHARINES,L2T 2K9,LAW & SECURITY,Law and Public Safety,Law Enforcement/Police Foundations,Y,0.0%,60.0%,60.0%,40.0%,ND,ND
200749,TRILLIUM COLLEGE INC.,107020,"TRILLIUM COLLEGE, NIAGARA",ST. CATHARINES,L2T 2K9,LAW CLERK (WITH PLACEMENT),Law and Public Safety,Law Clerk,Y,ND,SS,SS,SS,ND,ND
200749,TRILLIUM COLLEGE INC.,107020,"TRILLIUM COLLEGE, NIAGARA",ST. CATHARINES,L2T 2K9,MASSAGE THERAPY,Health Services,Massage Therapist,Y,12.9%,60.0%,40.0%,41.7%,ND,ND
200749,TRILLIUM COLLEGE INC.,107020,"TRILLIUM COLLEGE, NIAGARA",ST. CATHARINES,L2T 2K9,MEDICAL OFFICE ASSISTANT,Health Services,Medical Office Administration/Management,Y,5.3%,84.2%,52.6%,50.0%,ND,ND
200749,TRILLIUM COLLEGE INC.,107020,"TRILLIUM COLLEGE, NIAGARA",ST. CATHARINES,L2T 2K9,PAYROLL SPECIALIST,Business,Accounting and Payroll Administration,Y,SS,SS,SS,SS,ND,ND
200749,TRILLIUM COLLEGE INC.,107020,"TRILLIUM COLLEGE, NIAGARA",ST. CATHARINES,L2T 2K9,PERSONAL SUPPORT WORKER,Health Services,Personal Support Worker/Personal Attendant,Y,ND,100.0%,100.0%,80.8%,ND,ND
200749,TRILLIUM COLLEGE INC.,107020,"TRILLIUM COLLEGE, NIAGARA",ST. CATHARINES,L2T 2K9,PHARMACY ASSISTANT,Health Services,Pharmacy Assistant,Y,ND,ND,ND,ND,ND,ND
200749,TRILLIUM COLLEGE INC.,107020,"TRILLIUM COLLEGE, NIAGARA",ST. CATHARINES,L2T 2K9,SUPPLY CHAIN MANAGEMENT & LOGISTICS,Business,Supply Chain Management and Logistics,Y,ND,83.3%,66.7%,33.3%,ND,ND
200749,TRILLIUM COLLEGE INC.,107020,"TRILLIUM COLLEGE, NIAGARA",ST. CATHARINES,L2T 2K9,VIDEO GAME DESIGNER,Applied Arts and Science,Game/Interactive Media Design,Y,0.0%,SS,SS,ND,ND,ND
200784,924468 ONTARIO INC.,+,+,,,+,,,Y,44.7%,79.4%,48.6%,84.3%,100.0%,ND
200784,924468 ONTARIO INC.,101759,"TORONTO TRUCK DRIVING SCHOOL, TTDS- TORONTO",TORONTO,M9W 6P4,+,,,Y,44.7%,79.4%,48.6%,84.3%,100.0%,ND
200784,924468 ONTARIO INC.,101759,"TORONTO TRUCK DRIVING SCHOOL, TTDS- TORONTO",TORONTO,M9W 6P4,MELT TRACTOR TRAILER TRAINING PROGRAM,Tractor-Trailer / Driver Licensing,Other Driver's License Training,Y,44.7%,79.4%,48.6%,84.3%,100.0%,ND
200865,1272172 ONTARIO INC.,+,+,,,+,,,Y,90.5%,75.0%,58.3%,90.9%,ND,ND
200865,1272172 ONTARIO INC.,102070,"CAN-WELD TRAINING & TESTING CENTRE, SARNIA",SARNIA,N7T 7H3,+,,,Y,90.5%,75.0%,58.3%,90.9%,ND,ND
200865,1272172 ONTARIO INC.,102070,"CAN-WELD TRAINING & TESTING CENTRE, SARNIA",SARNIA,N7T 7H3,FULL PLATE & PIPE WELDING PROGRAM,Industrial Trade,Welder,Y,92.9%,83.3%,66.7%,80.0%,ND,ND
200865,1272172 ONTARIO INC.,102070,"CAN-WELD TRAINING & TESTING CENTRE, SARNIA",SARNIA,N7T 7H3,GENERAL WELDING PROGRAM,Industrial Trade,Welder,Y,85.7%,66.7%,50.0%,100.0%,ND,ND
200866,1527611 ONTARIO INC.,+,+,,,+,,,Y,74.7%,77.3%,60.6%,84.9%,87.5%,ND
200866,1527611 ONTARIO INC.,102072,"ACADEMY OF LEARNING CAREER AND BUSINESS COLLEGE, MISSISSAUGA EAST",MISSISSAUGA,L4Y 2C1,+,,,Y,74.3%,81.0%,66.7%,89.1%,85.7%,0.7%
200866,1527611 ONTARIO INC.,102072,"ACADEMY OF LEARNING CAREER AND BUSINESS COLLEGE, MISSISSAUGA EAST",MISSISSAUGA,L4Y 2C1,ACCOUNTING AND PAYROLL ADMINISTRATOR,Business,Accounting and Payroll Administration,Y,SS,SS,SS,SS,ND,ND
200866,1527611 ONTARIO INC.,102072,"ACADEMY OF LEARNING CAREER AND BUSINESS COLLEGE, MISSISSAUGA EAST",MISSISSAUGA,L4Y 2C1,ADMINISTRATIVE ASSISTANT,Business,Office Administration,Y,SS,ND,ND,ND,ND,ND
200866,1527611 ONTARIO INC.,102072,"ACADEMY OF LEARNING CAREER AND BUSINESS COLLEGE, MISSISSAUGA EAST",MISSISSAUGA,L4Y 2C1,BUSINESS ADMINISTRATION DIPLOMA,Business,Business Administration,Y,100.0%,100.0%,75.0%,75.0%,ND,ND
200866,1527611 ONTARIO INC.,102072,"ACADEMY OF LEARNING CAREER AND BUSINESS COLLEGE, MISSISSAUGA EAST",MISSISSAUGA,L4Y 2C1,BUSINESS OFFICE SKILLS,Business,Office Administration,Y,ND,ND,ND,ND,ND,ND
200866,1527611 ONTARIO INC.,102072,"ACADEMY OF LEARNING CAREER AND BUSINESS COLLEGE, MISSISSAUGA EAST",MISSISSAUGA,L4Y 2C1,COMMUNITY SERVICE WORKER (2017),Community and Social Services,Community Services Worker,Y,SS,SS,SS,SS,ND,ND
200866,1527611 ONTARIO INC.,102072,"ACADEMY OF LEARNING CAREER AND BUSINESS COLLEGE, MISSISSAUGA EAST",MISSISSAUGA,L4Y 2C1,COMPUTERIZED ACCOUNTING,Business,Accounting,Y,ND,SS,SS,SS,ND,ND
200866,1527611 ONTARIO INC.,102072,"ACADEMY OF LEARNING CAREER AND BUSINESS COLLEGE, MISSISSAUGA EAST",MISSISSAUGA,L4Y 2C1,CONFERENCE AND EVENT PLANNER,Business,Hospitality Administration/Management,Y,ND,SS,SS,SS,ND,ND
200866,1527611 ONTARIO INC.,102072,"ACADEMY OF LEARNING CAREER AND BUSINESS COLLEGE, MISSISSAUGA EAST",MISSISSAUGA,L4Y 2C1,GRAPHIC DESIGNER,Applied Arts and Science,Graphic Design/Printing,Y,ND,SS,SS,SS,ND,ND
200866,1527611 ONTARIO INC.,102072,"ACADEMY OF LEARNING CAREER AND BUSINESS COLLEGE, MISSISSAUGA EAST",MISSISSAUGA,L4Y 2C1,HOME INSPECTION CERTIFICATE,Services,Other - Services,Y,SS,ND,ND,ND,ND,ND
200866,1527611 ONTARIO INC.,102072,"ACADEMY OF LEARNING CAREER AND BUSINESS COLLEGE, MISSISSAUGA EAST",MISSISSAUGA,L4Y 2C1,HOME INSPECTION DIPLOMA,Services,Other - Services,Y,100.0%,100.0%,0.0%,100.0%,ND,ND
200866,1527611 ONTARIO INC.,102072,"ACADEMY OF LEARNING CAREER AND BUSINESS COLLEGE, MISSISSAUGA EAST",MISSISSAUGA,L4Y 2C1,IMMIGRATION ADMINISTRATIVE ASSISTANT,Community and Social Services,Immigration Consultant,Y,SS,ND,ND,SS,ND,ND
200866,1527611 ONTARIO INC.,102072,"ACADEMY OF LEARNING CAREER AND BUSINESS COLLEGE, MISSISSAUGA EAST",MISSISSAUGA,L4Y 2C1,IMMIGRATION CONSULTANT,Community and Social Services,Immigration Consultant,Y,91.7%,ND,ND,ND,ND,ND
200866,1527611 ONTARIO INC.,102072,"ACADEMY OF LEARNING CAREER AND BUSINESS COLLEGE, MISSISSAUGA EAST",MISSISSAUGA,L4Y 2C1,INTERNATIONAL HOSPITALITY MANAGEMENT,Business,Hospitality Administration/Management,Y,SS,ND,ND,ND,ND,ND
200866,1527611 ONTARIO INC.,102072,"ACADEMY OF LEARNING CAREER AND BUSINESS COLLEGE, MISSISSAUGA EAST",MISSISSAUGA,L4Y 2C1,IT SECURITY SPECIALIST,Computer and Information Technology,Computer Security and Project Management,Y,SS,ND,ND,ND,ND,ND
200866,1527611 ONTARIO INC.,102072,"ACADEMY OF LEARNING CAREER AND BUSINESS COLLEGE, MISSISSAUGA EAST",MISSISSAUGA,L4Y 2C1,LAW CLERK,Law and Public Safety,Law Clerk,Y,ND,SS,SS,SS,ND,ND
200866,1527611 ONTARIO INC.,102072,"ACADEMY OF LEARNING CAREER AND BUSINESS COLLEGE, MISSISSAUGA EAST",MISSISSAUGA,L4Y 2C1,MEDICAL OFFICE ASSISTANT WITH HEALTH UNIT COORDINATOR SPECIALTY,Health Services,Medical Office Administration/Management,Y,83.3%,33.3%,0.0%,100.0%,ND,ND
200866,1527611 ONTARIO INC.,102072,"ACADEMY OF LEARNING CAREER AND BUSINESS COLLEGE, MISSISSAUGA EAST",MISSISSAUGA,L4Y 2C1,MEDICAL OFFICE ASSISTANT,Health Services,Medical Office Administration/Management,Y,SS,SS,SS,SS,ND,ND
200866,1527611 ONTARIO INC.,102072,"ACADEMY OF LEARNING CAREER AND BUSINESS COLLEGE, MISSISSAUGA EAST",MISSISSAUGA,L4Y 2C1,MEDICAL RECEPTIONIST,Health Services,Office/Clerical/Administration - Dental/Medical,Y,SS,ND,ND,ND,ND,ND
200866,1527611 ONTARIO INC.,102072,"ACADEMY OF LEARNING CAREER AND BUSINESS COLLEGE, MISSISSAUGA EAST",MISSISSAUGA,L4Y 2C1,NETWORK ADMINISTRATOR,Computer and Information Technology,Network Administration,Y,SS,ND,ND,ND,ND,ND
200866,1527611 ONTARIO INC.,102072,"ACADEMY OF LEARNING CAREER AND BUSINESS COLLEGE, MISSISSAUGA EAST",MISSISSAUGA,L4Y 2C1,PC SUPPORT SPECIALIST,Computer and Information Technology,Information Technology,Y,ND,SS,SS,SS,ND,ND
200866,1527611 ONTARIO INC.,102072,"ACADEMY OF LEARNING CAREER AND BUSINESS COLLEGE, MISSISSAUGA EAST",MISSISSAUGA,L4Y 2C1,PERSONAL SUPPORT WORKER,Health Services,Personal Support Worker/Personal Attendant,Y,68.0%,88.9%,76.2%,97.0%,85.7%,ND
200866,1527611 ONTARIO INC.,102072,"ACADEMY OF LEARNING CAREER AND BUSINESS COLLEGE, MISSISSAUGA EAST",MISSISSAUGA,L4Y 2C1,PROJECT ADMINISTRATION,Business,Project Administration/Management,Y,SS,ND,ND,ND,ND,ND
200866,1527611 ONTARIO INC.,102072,"ACADEMY OF LEARNING CAREER AND BUSINESS COLLEGE, MISSISSAUGA EAST",MISSISSAUGA,L4Y 2C1,WEB DESIGNER,Computer and Information Technology,Information Technology,Y,60.0%,SS,SS,SS,ND,ND
200866,1527611 ONTARIO INC.,180455,"ACADEMY OF LEARNING CAREER AND BUSINESS COLLEGE, BRAMPTON",BRAMPTON,L6Y 4M3,+,,,Y,75.7%,70.8%,50.0%,77.8%,100.0%,ND
200866,1527611 ONTARIO INC.,180455,"ACADEMY OF LEARNING CAREER AND BUSINESS COLLEGE, BRAMPTON",BRAMPTON,L6Y 4M3,ACCOUNTING AND PAYROLL ADMINISTRATOR,Business,Accounting and Payroll Administration,Y,SS,ND,ND,ND,ND,ND
200866,1527611 ONTARIO INC.,180455,"ACADEMY OF LEARNING CAREER AND BUSINESS COLLEGE, BRAMPTON",BRAMPTON,L6Y 4M3,BUSINESS ADMINISTRATION DIPLOMA,Business,Business Administration,Y,71.4%,ND,ND,ND,ND,ND
200866,1527611 ONTARIO INC.,180455,"ACADEMY OF LEARNING CAREER AND BUSINESS COLLEGE, BRAMPTON",BRAMPTON,L6Y 4M3,BUSINESS ADMINISTRATION DIPLOMA,Business,Business Administration,Y,ND,SS,SS,SS,ND,ND
200866,1527611 ONTARIO INC.,180455,"ACADEMY OF LEARNING CAREER AND BUSINESS COLLEGE, BRAMPTON",BRAMPTON,L6Y 4M3,BUSINESS OFFICE SKILLS,Business,Office Administration,Y,ND,ND,ND,ND,ND,ND
200866,1527611 ONTARIO INC.,180455,"ACADEMY OF LEARNING CAREER AND BUSINESS COLLEGE, BRAMPTON",BRAMPTON,L6Y 4M3,HOME INSPECTION CERTIFICATE,Services,Other - Services,Y,SS,ND,ND,ND,ND,ND
200866,1527611 ONTARIO INC.,180455,"ACADEMY OF LEARNING CAREER AND BUSINESS COLLEGE, BRAMPTON",BRAMPTON,L6Y 4M3,HOME INSPECTION DIPLOMA,Services,Other - Services,Y,SS,ND,ND,ND,ND,ND
200866,1527611 ONTARIO INC.,180455,"ACADEMY OF LEARNING CAREER AND BUSINESS COLLEGE, BRAMPTON",BRAMPTON,L6Y 4M3,IMMIGRATION ADMINISTRATIVE ASSISTANT,Community and Social Services,Immigration Consultant,Y,ND,ND,ND,ND,ND,ND
200866,1527611 ONTARIO INC.,180455,"ACADEMY OF LEARNING CAREER AND BUSINESS COLLEGE, BRAMPTON",BRAMPTON,L6Y 4M3,IT SECURITY SPECIALIST,Computer and Information Technology,Computer Security and Project Management,Y,SS,ND,ND,ND,ND,ND
200866,1527611 ONTARIO INC.,180455,"ACADEMY OF LEARNING CAREER AND BUSINESS COLLEGE, BRAMPTON",BRAMPTON,L6Y 4M3,MEDICAL OFFICE ASSISTANT (WITH CAPSTONE PROJECT),Health Services,Medical Office Administration/Management,Y,ND,SS,SS,SS,ND,ND
200866,1527611 ONTARIO INC.,180455,"ACADEMY OF LEARNING CAREER AND BUSINESS COLLEGE, BRAMPTON",BRAMPTON,L6Y 4M3,MEDICAL OFFICE ASSISTANT WITH HEALTH UNIT COORDINATOR SPECIALTY,Health Services,Medical Office Administration/Management,Y,ND,ND,ND,ND,ND,ND
200866,1527611 ONTARIO INC.,180455,"ACADEMY OF LEARNING CAREER AND BUSINESS COLLEGE, BRAMPTON",BRAMPTON,L6Y 4M3,MEDICAL OFFICE ASSISTANT,Health Services,Medical Office Administration/Management,Y,ND,ND,ND,SS,ND,ND
